CCODE,ISO -3 ,Countries,Status,EVI,a,Economic vulnerability index,b,"Share of agriculture, forestry and fisheries",,c,Remoteness and landlockedness,,,d,Export concentration,,e,Export instability,,f,Environmental vulnerability index,g,Share of population living in low elevated coastal zones ,,h,Share of population living in drylands ,,i,Agricultural instability,,j,Victims of disasters (%),,k,HAI,l,Health index,m,Under 5 mortality (per 1000),,n,Prevalence of stunting,,o,"Maternal mortality (per 100,000 live birth)",,p,Education index,q,Lower secondary education completion rate,,r,Adult literacy rate,,s,Gender parity index for lower secondary education completion,,t,GNI per capita ($),u
,,,,,,,,Value,Max-min,,Avg. distance,Adj. value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,
,a,The EVI is calculated as 1/2 of the Economic vulnerability index and 1/2 of the Environmental vulnerability index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b,"The Economic vulnerability index is calculated as 1/4 of the Share of agriculture, forestry and fisheries, 1/4 of the Remoteness and landlockedness, 1/4 of the Export concentration and 1/4 of the Export instability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c,"Source: United Nations, Department of Economic and Social Affairs (DESA), Statistics Division, National Accounts Main Aggregates Database (available at https://unstats.un.org/unsd/snaama/, accessed 16 Jan 2024). Data refer to 2020-2022 average.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on distance data by Centre d'Etudes Prospectives et d'Informations Internationales (CEPII) and data on exports and imports of goods and services (2020-2022 average) from United Nations, Department of Economic and Social Affairs (DESA), Statistics Division, National Accounts Main Aggregates Database (available at https://unstats.un.org/unsd/snaama/, accessed 16 Jan 2024). The average distance to world markets is in km, the adjusted value is an index based on average distance and landlockedness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on export concentration data from United Nations Conference on Trade and Development (UNCTAD), UNCTADstat (available at http://unctadstat.unctad.org, accessed 7 Nov 2023). Data refer to 2020-2022 average.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on constant exports of goods and services data and trade dependency (ratio of exports plus imports to GDP) from United Nations, Department of Economic and Social Affairs (DESA), Statistics Division, National Accounts Main Aggregates Database (available at https://unstats.un.org/unsd/snaama/, accessed 16 Jan 2024). Instability values are based on data from 2002-2022 and trade dependency weights are 2020-2022 averages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,g,"The Environmental vulnerability index is calculated as 1/4 of the Share of population in low elevated coastal zones, 1/4 of the Share of population living in drylands , 1/4 of the Agricultural instability and 1/4 of the Victims of disasters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h,"Source: Center for International Earth Science Information Network - CIESIN - Columbia University and CUNY Institute for Demographic Research (CIDR), City University of New York. 2020. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC) (available at https://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v3, accessed 16 Jan 2024), unless otherwise indicated. Data refer to 2015 population, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h1,"Source: Center for International Earth Science Information Network (CIESIN), Columbia University 2012.  National Aggregates of Geospatial Data Collection: Population, Landscape, And Climate Estimates, Version 3 (PLACE III). Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC) (available at http://sedac.ciesin.columbia.edu/data/sets/browse, accessed 16 Jan 2024). Data refer to 2010 population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h2,"Source: Center for International Earth Science Information Network (CIESIN), Columbia University 2012.  National Aggregates of Geospatial Data Collection: Population, Landscape, And Climate Estimates, Version 3 (PLACE III). Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC) (available at http://sedac.ciesin.columbia.edu/data/sets/browse, accessed 16 Jan 2024). Data refer to 2000 population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h3,"Source: Center for International Earth Science Information Network (CIESIN), Columbia University 2012.  National Aggregates of Geospatial Data Collection: Population, Landscape, And Climate Estimates, Version 2 (PLACE II). Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC) (available at http://sedac.ciesin.columbia.edu/data/sets/browse, accessed 16 Jan 2024). Data refer to 2000 population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on an aridity index derived from high resolution climate data from University of East Anglia Climatic Research Unit (CRU TS version 4) and gridded population data from CIESIN - Columbia University (GPW version 4), accessed 11 Aug 2023. Data refer to 1993-2022 climate data and 2022 population data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on agricultural production data from United Nations Food and Agriculture Organization (FAO), FAOSTAT (available at http://faostat3.fao.org/home/E, accessed 16 Jan 2024). Data refer to period 2001-2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j1,Data calculated as the regional average of Micronesia for the period 2001-2021.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,k,"Source: UN Office for Disaster Risk Reduction (UNDRR), Sendai Framework Monitor (SFM) (official dataset received 28 Feb 2024). Data gaps are filled by United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat calculations, based on disaster data from EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir, Brussels, Belgium (available at https://www.emdat.be/, accessed 16 Jan 2024), and on population data from United Nations, Department of Economic and Social Affairs (DESA), Population Division, World Population Prospects 2022 Revision (available at https://population.un.org/wpp/, accessed 16 Jan 2024). Data refer to the 2008-2022 average.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l,The HAI is calculated as 1/2 of the Health index and 1/2 of the Education index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,m,"The Health index is calculated as 1/3 of the Under-five mortality rate, 1/3 of the Prevalence of stunting and 1/3 of the Maternal mortality ratio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n,"Source: United Nations Inter-agency Group for Child Mortality estimation (CME), CME Info (available at https://data.unicef.org/topic/child-survival/under-five-mortality/, accessed on 13 Mar 2024). Data refer to 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,o,"Source: UNICEF/WHO/World Bank Joint Child Malnutrition Estimates - Levels and Trends, 2023 Edition (available at https://data.unicef.org/resources/dataset/malnutrition-data/, accessed 16 Jan 2024), unless otherwise indicated. Data refer to 2022, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,o1,"Source: Institute for Health Metrics and Evaluation (IHME). Global Child Growth Failure Geospatial Estimates 2000-2019. Seattle, United States of America: Institute for Health Metrics and Evaluation (IHME), 2020 (available at http://ghdx.healthdata.org/ihme_data, accessed 3 Oct 2023). Data refer to 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,o2,Data calculated as the regional average of Micronesia for 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,o3,Data calculated as the regional average of the Caribbean for 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p,"Source: United Nations Inter-agency Group for Maternal Mortality. Maternal mortality: Levels and trends 2000 to 2020 (available at https://www.who.int/publications/i/item/9789240068759, accessed on 16 Jan 2024), unless otherwise indicated. Data refer to 2020, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p1,"Source: United Nations Inter-agency Group for Maternal Mortality. Trends in maternal mortality: 1990 to 2015, special dataset (received 1 March 2018). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,q,"The Education index is calculated as 1/3 of the Lower secondary education completion rate, 1/3 of the Adult literacy rate and 1/3 of the Gender parity index for lower secondary education completion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Visualizing Indicators of Education for the World (VIEW) (available at https://education-estimates.org/, accessed 16 Jan 2024), unless otherwise indicated. Data refer to the latest available year within the 2019-2023 period, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r1,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r2,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r3,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r4,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r5,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Education in Latin America and the Caribbean at a crossroads: Regional monitoring report SDG-Education 2030 (available at https://unesdoc.unesco.org/ark:/48223/pf0000382919, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r6,Data refer to 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r7,Data refer to 2016.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r8,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r9,"Source: Global Partnership for Education, Results Report 2022 (available at https://www.globalpartnership.org/content/results-report-2022, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r10,Data refer to 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r11,"Source: United Nations Childrens Fund (UNICEF), Global database on completion rate (available at https://data.unicef.org/topic/education/secondary-education/, accessed 16 Jan 2024). Data refer to 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r12,"Source: Nations Unies Djibouti, Analyse commune pays, Djibouti, Decembre 2021 (available at https://minio.dev.devqube.io/uninfo-production-main/d00b7e7f-fe9d-43b6-a6cc-45b71c803b7d_Djibouti_CCA_official_janvier_2022_final.pdf, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r13,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r14,"Source: Equipo de Pais de las Naciones Unidas (UNCT), Guinea Equatorial Evaluacion Comun para el Pais (CCA) 2017 (available at https://uninfo.org/location/159/unct-overview, accessed 16 Jan 2024). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r15,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r16,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r17,"Source: Lebanon, Ministry of Education and Higher Education 2021, Lebanon five-year General Education Plan 2021-2025 (available at https://www.mehe.gov.lb/ar/SiteAssets/Lists/News/AllItems/5YP%20MEHE-GE%20__amend1_%20Feb%202022.pdf, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r18,"Source: United Nations Support Mission in Libya (UNISMIL), Common Country Analysis 2021 (available at https://unsmil.unmissions.org/sites/default/files/un_libya_cca_2021_final_1.pdf, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r19,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on Republic of the Marshall Islands, Demographic and Health Survey, 2007 (available at https://sdd.spc.int/digital_library/marshall-islands-demographic-and-health-survey-dhs-2007, accessed 16 Jan 2024). Data refer to 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r20,Data refer to 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r21,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r22,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r23,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r24,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r25,Data refer to 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r26,"Source: Government of the Democratic Socialist Republic of Sri Lanka, Inclusive Transformation towards a Sustainably Developed Nation for All, National Review on the Implementation of the 2030 Agenda for Sustainable Development in Sri Lanka, June 2022 (available at https://hlpf.un.org/countries/sri-lanka/voluntary-national-review-2022, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r27,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r28,"Source: The Pacific Community, Pacific Data Hub, Thematic (SDG goal 4) indicators on Education (available at https://stats.pacificdata.org/?lc=en, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r29,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r30,"Source: Yemen, Central Statistical Organization, Yemen Multiple Indicators Cluster Survey (MICS) 2022-2023 (available at https://www.unicef.org/yemen/documents/yemen-mics-multiple-indicator-cluster-survey, accessed 16 Jan 2024). Data refer to 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://data.uis.unesco.org/, accessed 16 Jan 2024), unless otherwise indicated. Data refer to the latest available year within the 2018-2022 period, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s1,"Source: World Bank, World Development Indicators (WDI) database (available at https://databank.worldbank.org/source/world-development-indicators, accessed 19 Sep 2023). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s2,"Source: World Bank, World Development Indicators (WDI) database (available at https://databank.worldbank.org/source/world-development-indicators, accessed 19 Sep 2023). Data refer to 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s3,"Source: International Monetary Fund (IMF), IMF Country Report No. 15/203, 2015 Article IV Consultation - Press Release; and Staff Report, July 2015 (available at http://www.imf.org/external/country/, accessed 16 Jan 2024). Data refer to 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s4,"Source: United Nations Childrens Fund (UNICEF), Global database on literacy rate (available at https://data.unicef.org/topic/education/learning-and-skills/#data, accessed 16 Jan 2024). Data refer to 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s5,"Source: World Bank, World Development Indicators (WDI) database (available at https://databank.worldbank.org/source/world-development-indicators, accessed 19 Sep 2023). Data refer to 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s6,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Education For All Global Monitoring Report 2011 (Statistical Annex) (available at https://unesdoc.unesco.org/home, accessed 16 Jan 2024). Data refer to 2015 projection.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s7,Data refer to 2013.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s8,"Source: Republique de Djibouti, Commissariat au Plan Charge des Statistiques: Resultats de la Quatrieme enquete Djiboutienne aupres des menages pour les indicateurs sociaux (Edam4-Is), Juin 2018 (available at https://microdata.worldbank.org/index.php/catalog/3463/download/46644, accessed 16 Jan 2024). Data refer to 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s9,"Source: International Monetary Fund (IMF), IMF Country Report No. 2018/265, 2018 Article IV Consultation - Press Release; and Staff Report, September 2018 (available at http://www.imf.org/external/country/, accessed 16 Jan 2024). Data refer to 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s10,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Education For All Global Monitoring Report 2015 (Statistical Annex) (available at https://unesdoc.unesco.org/home, accessed 16 Jan 2024). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s11,"Source: The Pacific Community (SPC), Pacific Data Hub (PDH), Thematic (SDG goal 4) indicators on Education (available at https://stats.pacificdata.org/?lc=en, accessed 16 Jan 2024). Data refer to 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s12,Data refer to 2016.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s13,Data refer to 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s14,"Source: Republic of Kiribati, National Statistics Office, Ministry of Finance: 2020 Population and Housing Census (available at https://sdd.spc.int/digital_library/republic-kiribati-2020-population-and-housing-general-report-and-results, accessed 16 Jan 2024). Data refer to 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s15,"Source: World Bank, World Development Indicators (WDI) database (available at https://databank.worldbank.org/source/world-development-indicators, accessed 19 Sep 2023). Data refer to 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s16,Data refer to 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s17,"Source: World Health Organization (WHO), Western Pacific Region (WPR),Western Pacific Health Databank, 2012-2013 (WPRO-WHO) (available at http://www.wpro.who.int/countries/fsm/17_fsm_2012.pdf, accessed 16 Jan 2024). Data refer to 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s18,"Source: Republic of Nauru, National Report on Population and Housing Census, 2011 (available at https://pacificdata.org/data/dataset/spc_nru_2011_phc_v01_m, accessed 16 Jan 2024). Data refer to 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s19,Data refer to 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s20,Data refer to 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s21,"Source: International Monetary Fund (IMF), IMF Country Report No. 17/186, 2017 Article IV Consultation - Press Release; and Staff Report, July 2017 (available at http://www.imf.org/external/country/, accessed 16 Jan 2024). Data refer to 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s22,"Source: International Monetary Fund (IMF), IMF Country Report No. 17/76, 2017 Article IV Consultation - Press Release and Staff Report, March 2017 (available at http://www.imf.org/external/country/, accessd  16 Jan 2024). Data refer to 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s23,"Source: Government of Saint Vincent and the Grenadines, Voluntary National Review, 2020 (available at https://hlpf.un.org/countries, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s24,"Source: Solomon Islands Government, Report on 2009 Population and Housing Census, Basic Tables and Census Description (available at https://www.statistics.gov.sb/statistics/demographic-statistics/111-census/92-census-2009, accessed 16 Jan 2024). Data refer to 2009. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s25,"Source: Government of Tuvalu, Central Statistics Division, Tuvalu National Population and Housing Census 2012, Basic Tables (available at https://pacificdata.org/data/dataset/spc_tuv_2012_phc_v01_m, accessed 16 Jan 2024). Data refer to 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on female and male lower secondary education completion rate data from United Nations Educational, Scientific and Cultural Organisation (UNESCO), Visualizing Indicators of Education for the World (VIEW) (available at https://education-estimates.org/, accessed 16 Jan 2024), unless otherwise indicated. Data refer to the latest available year within the 2019-2023 period, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t1,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t2,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
