CCODE,ISO -3 ,Countries,Status,EVI,a,Economic vulnerability index,b,"Share of agriculture, forestry and fisheries",,c,Remoteness and landlockedness,,,d,Export concentration,,e,Export instability,,f,Environmental vulnerability index,g,Share of population living in low elevated coastal zones ,,h,Share of population living in drylands ,,i,Agricultural instability,,j,Victims of disasters (%),,k,HAI,l,Health index,m,Under 5 mortality (per 1000),,n,Prevalence of stunting,,o,"Maternal mortality (per 100,000 live birth)",,p,Education index,q,Lower secondary education completion rate,,r,Adult literacy rate,,s,Gender parity index for lower secondary education completion,,t,GNI per capita ($),u
,,,,,,,,Value,Max-min,,Avg. distance,Adj. value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,
152,CHL,Chile,ODC,33.7,,35.3,,4.2,5.4,,"9,877",82.8,91,,6.5,41.2,,1.8,3.6,,32.2,,1,2.7,,64.4,64.4,,2.8,7.2,,1.1,54.4,,98.6,,99.7,,6.3,100,,1.6,100,,15,99.2,,97.6,,96.9,96.5,,97.2,96.2,,1,100,,"14,415",
156,CHN,China,ODC,20.2,,10.7,,7.8,11.4,,"3,685",31.7,27.1,,3.3,0,,2,4.1,,29.7,,4.9,13.9,,29.1,29.1,,1.3,0,,3.7,75.7,,97,,98.1,,6.6,100,,4.6,95.8,,23,98.5,,95.9,,92.3,91.4,,97.2,96.2,,1.1,100,,"11,685",
170,COL,Colombia,ODC,24.3,,29.2,,8.6,12.9,,"6,890",64.1,67.7,,5.8,30.3,,2.9,5.8,,19.5,,2.3,6.7,,5.9,5.9,,3,8,,1.3,57.3,,91.3,,91.8,,12.4,98.6,,11.2,82.6,,74.8,94.2,,90.8,,80.5,78.3,,95.6,94.2,,1.1,100,,"6,216",
174,COM,Comoros,LDC,37,,50.7,,37.3,61.6,,"6,875",64,67.5,,8,66.6,,3.5,7,,23.3,,13.2,37.8,h1,0,0,,1.8,1.8,,1.1,53.6,,68.7,,75.5,,48.2,76.9,,18.8,67.4,,217,82.3,,61.9,,43,36.7,r10,61.7,48.9,,1.3,100,t5,"1,603",
178,COG,Congo,ODC,26.7,,39.4,,9.4,14.3,,"5,924",56.3,57.9,,8.3,71.7,,6.8,13.6,,14.1,,0.9,2.7,,0,0,,2.1,3.4,,0.9,50.2,,66.9,,76.5,,41.6,80.8,,16.5,72,,282.4,76.8,,57.2,,55.8,50.9,,80.6,74.1,,0.7,46.5,,"2,140",
188,CRI,Costa Rica,ODC,24.3,,28,,4.6,6.1,,"6,889",64.1,67.7,,5.9,31.7,,3.3,6.7,,20.6,,2,5.7,,0,0,,3.2,9.1,,2.4,67.6,,92,,94.9,,7.7,100,,9.5,86,,22,98.6,,89.2,,73.1,70.1,,98,97.4,,1.1,100,,"12,259",
384,CIV,C?te D'Ivoire,ODC,18.6,,32,,18.9,30.4,,"5,243",50,50,,6.4,40.2,,3.7,7.5,,5.3,,3.3,9.3,,0,0,,3.7,11.8,,0,0,,59.4,,63,,69.4,64,,20.2,64.6,,479.9,60.3,,55.9,,31.9,24.3,,89.9,86.5,,0.7,56.8,,"2,464",
192,CUB,Cuba,ODC,27.6,,24.3,,2.2,2,,"5,811",55.3,56.6,,6.2,36.5,,1.1,2.3,,30.8,,2.5,7.2,,0,0,,8.7,38.9,,4,76.9,,97.2,,96,,8,100,,7,91,,39.3,97.1,,98.3,,95.9,95.4,,99.7,99.6,,1,100,,"9,992",
408,PRK,Democratic People's Republic of Korea,ODC,30,,30.8,,23.1,37.4,,"4,134",37.7,34.6,,7,50.2,,0.4,0.9,,29.2,,4.9,14,,0,0,,3.2,9.4,,10.2,93.3,,93.1,,86.2,,17,95.7,,16.8,71.4,,106.7,91.5,,99.9,,99.8,99.8,r11,100,100,,1,100,t10,642,
180,COD,Democratic Republic of the Congo,LDC,34.6,,42.8,,19.9,32.1,,"5,930",56.4,58,,7.8,63.7,,8.7,17.4,,26.4,,0,0,,0.2,0.2,,9.2,41.5,,1.9,63.7,,59.5,,46.4,,75.6,60.3,,40.3,24.4,,547.4,54.6,,72.6,,49.4,43.8,,80.5,74.1,,1.1,100,,547,
